Operator,Reservoir,CompletionDate,LateralLength_FT,ProppantIntensity_LBSPerFT,FluidIntensity_BBLPerFT,HzDistanceToNearestOffsetAtDrill,HzDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetCurrent,VtDistanceToNearestOffsetAtDrill,WellDepth,ReservoirThickness,OilInPlace,Porosity,ReservoirPressure,WaterSaturation,StructureDerivative,TotalOrganicCarbon,ClayVolume,CarbonateVolume,Maturity,TotalWellCost_USDMM,CumOil12Month
1,5,2018-11-08,7739.0,1669.0,46.0,456.577,456.577,500.0,274.36,5364.745,,31416.06,0.061,2985.62831,0.372,0.016,2.759698539,0.209,0.293,0.93,4.15259742736816,59416.52734375
1,6,2018-11-03,7645.0,1656.0,47.0,450.182,728.558,500.0,274.36,5639.105,490.225,23700.955,0.071,3560.120184,0.588,0.015,2.913202069,0.193,0.253,0.929,4.15535831451416,167176.46875
47,6,2015-04-18,9746.0,998.0,18.0,710.293,768.93,500.0,49.349,5911.641,476.471,20905.809,0.067,3423.4877,0.584,0.012,2.959429264,0.195,0.264,0.938,4.66082811355591,117015.4453125
47,6,2015-10-15,9422.0,1354.0,42.0,384.523,769.211,293.709,356.597,6317.587,476.481,9559.678,0.06,4417.714837,0.791,0.012,3.200393162,0.199,0.293,0.938,5.61637258529663,78139.5078125
47,6,2015-04-19,9746.0,972.0,17.0,744.443,564.186,38.745,28.141,5960.99,476.481,12983.634,0.066,3608.184056,0.734,0.012,2.777992261,0.186,0.289,0.938,4.62353467941284,70433.8125
47,6,2015-10-27,9786.0,1490.0,40.0,718.435,731.486,14.267,0.394,5932.849,476.481,14483.266,0.061,3528.575759,0.684,0.015,2.822321022,0.182,0.291,0.938,5.89213228225708,102265.4609375
47,6,2015-10-28,9722.0,1501.0,41.0,844.93,781.457,500.0,239.298,5932.455,478.169,13337.598,0.06,3508.19195,0.703,0.015,2.729788278,0.183,0.293,0.938,5.89958190917969,193705.1875
47,6,2017-08-01,9758.0,1827.0,55.0,889.197,889.197,9.104,9.104,6066.718,487.038,16794.379,0.062,3828.782616,0.666,0.008,2.612473674,0.197,0.289,0.932,6.73611354827881,233913.359375
47,6,2017-07-29,9908.0,1813.0,55.0,772.941,772.941,9.104,9.104,6075.822,487.038,17321.643,0.059,4068.324216,0.63,0.01,2.673144966,0.193,0.29,0.932,6.79952812194824,161121.40625
47,6,2017-08-07,9834.0,1829.0,56.0,773.004,773.004,9.108,9.108,6066.715,487.978,17940.099,0.058,4034.598008,0.611,0.01,2.567558655,0.189,0.302,0.932,6.78920936584473,170829.90625
